lsoa,value,percent,rank,mode_code
E01014370,326,17.961,12188,1
E01014370,0,0,12188,2
E01014370,15,0.826,12188,3
E01014370,42,2.314,12188,4
E01014370,2,0.11,12188,5
E01014370,0,0,12188,6
E01014370,126,6.942,12188,7
E01014370,9,0.496,12188,8
E01014370,12,0.661,12188,9
E01014370,237,13.058,12188,10
E01014370,10,0.551,12188,11
E01014370,1036,57.08,12188,12
E01014372,499,26.557,19305,1
E01014372,1,0.053,19305,2
E01014372,15,0.798,19305,3
E01014372,39,2.076,19305,4
E01014372,1,0.053,19305,5
E01014372,1,0.053,19305,6
E01014372,149,7.93,19305,7
E01014372,13,0.692,19305,8
E01014372,30,1.597,19305,9
E01014372,310,16.498,19305,10
E01014372,11,0.585,19305,11
E01014372,810,43.108,19305,12
E01014377,354,23.984,30918,1
E01014377,1,0.068,30918,2
E01014377,7,0.474,30918,3
E01014377,10,0.678,30918,4
E01014377,1,0.068,30918,5
E01014377,5,0.339,30918,6
E01014377,173,11.721,30918,7
E01014377,8,0.542,30918,8
E01014377,17,1.152,30918,9
E01014377,36,2.439,30918,10
E01014377,5,0.339,30918,11
E01014377,859,58.198,30918,12
E01014377,354,23.984,30918,1
E01014377,1,0.068,30918,2
E01014377,7,0.474,30918,3
E01014377,10,0.678,30918,4
E01014377,1,0.068,30918,5
E01014377,5,0.339,30918,6
E01014377,173,11.721,30918,7
E01014377,8,0.542,30918,8
E01014377,17,1.152,30918,9
E01014377,36,2.439,30918,10
E01014377,5,0.339,30918,11
E01014377,859,58.198,30918,12
E01014377,354,23.984,30918,1
E01014377,1,0.068,30918,2
E01014377,7,0.474,30918,3
E01014377,10,0.678,30918,4
E01014377,1,0.068,30918,5
E01014377,5,0.339,30918,6
E01014377,173,11.721,30918,7
E01014377,8,0.542,30918,8
E01014377,17,1.152,30918,9
E01014377,36,2.439,30918,10
E01014377,5,0.339,30918,11
E01014377,859,58.198,30918,12
E01014377,354,23.984,30918,1
E01014377,1,0.068,30918,2
E01014377,7,0.474,30918,3
E01014377,10,0.678,30918,4
E01014377,1,0.068,30918,5
E01014377,5,0.339,30918,6
E01014377,173,11.721,30918,7
E01014377,8,0.542,30918,8
E01014377,17,1.152,30918,9
E01014377,36,2.439,30918,10
E01014377,5,0.339,30918,11
E01014377,859,58.198,30918,12
E01014377,354,23.984,30918,1
E01014377,1,0.068,30918,2
E01014377,7,0.474,30918,3
E01014377,10,0.678,30918,4
E01014377,1,0.068,30918,5
E01014377,5,0.339,30918,6
E01014377,173,11.721,30918,7
E01014377,8,0.542,30918,8
E01014377,17,1.152,30918,9
E01014377,36,2.439,30918,10
E01014377,5,0.339,30918,11
E01014377,859,58.198,30918,12
E01014374,327,20.948,27670,1
E01014374,0,0,27670,2
E01014374,9,0.577,27670,3
E01014374,22,1.409,27670,4
E01014374,1,0.064,27670,5
E01014374,1,0.064,27670,6
E01014374,267,17.104,27670,7
E01014374,10,0.641,27670,8
E01014374,22,1.409,27670,9
E01014374,39,2.498,27670,10
E01014374,5,0.32,27670,11
E01014374,858,54.965,27670,12
E01014373,346,21.558,23644,1
E01014373,1,0.062,23644,2
E01014373,6,0.374,23644,3
E01014373,50,3.115,23644,4
E01014373,0,0,23644,5
E01014373,5,0.312,23644,6
E01014373,309,19.252,23644,7
E01014373,20,1.246,23644,8
E01014373,32,1.994,23644,9
E01014373,60,3.738,23644,10
E01014373,3,0.187,23644,11
E01014373,773,48.162,23644,12
E01014373,346,21.558,23644,1
E01014373,1,0.062,23644,2
E01014373,6,0.374,23644,3
E01014373,50,3.115,23644,4
E01014373,0,0,23644,5
E01014373,5,0.312,23644,6
E01014373,309,19.252,23644,7
E01014373,20,1.246,23644,8
E01014373,32,1.994,23644,9
E01014373,60,3.738,23644,10
E01014373,3,0.187,23644,11
E01014373,773,48.162,23644,12
E01014375,340,26.295,22770,1
E01014375,0,0,22770,2
E01014375,7,0.541,22770,3
E01014375,5,0.387,22770,4
E01014375,1,0.077,22770,5
E01014375,5,0.387,22770,6
E01014375,210,16.241,22770,7
E01014375,10,0.773,22770,8
E01014375,11,0.851,22770,9
E01014375,27,2.088,22770,10
E01014375,2,0.155,22770,11
E01014375,675,52.204,22770,12
E01014373,346,21.558,23644,1
E01014373,1,0.062,23644,2
E01014373,6,0.374,23644,3
E01014373,50,3.115,23644,4
E01014373,0,0,23644,5
E01014373,5,0.312,23644,6
E01014373,309,19.252,23644,7
E01014373,20,1.246,23644,8
E01014373,32,1.994,23644,9
